gen,hour,profit
g10,2,2304.8685
g10,3,2304.8685
g10,4,2304.8685
g10,5,2304.8685
g10,6,2304.8685
g10,7,2304.8685
g10,8,3156.0
g10,9,3156.0
g10,10,3156.0
g10,11,3267.0
g10,12,3267.0
g10,13,3267.0
g10,14,3267.0
g10,15,3267.0
g10,16,3267.0
g10,17,3267.0
g10,18,3267.0
g10,19,3267.0
g10,20,3267.0
g10,21,3267.0
g10,22,3267.0
g10,23,3156.0
g10,24,3156.0
g11,1,0.0
g11,2,0.0
g11,3,0.0
g11,4,0.0
g11,5,0.0
g11,6,0.0
g11,7,0.0
g11,8,0.0
g11,9,-0.0
g11,10,0.0
g11,11,114.7000000000003
g11,12,114.7000000000003
g11,13,114.7000000000003
g11,14,114.7000000000003
g11,15,114.7000000000003
g11,16,114.7000000000003
g11,17,114.7000000000003
g11,18,114.7000000000003
g11,19,114.7000000000003
g11,20,114.7000000000003
g11,21,114.7000000000003
g11,22,114.7000000000003
g11,23,-0.0
g11,24,0.0
g12,1,0.0
g12,2,0.0
g12,3,0.0
g12,4,0.0
g12,5,0.0
g12,6,0.0
g12,7,0.0
g12,8,0.0
g12,9,0.0
g12,10,0.0
g12,11,0.0
g12,12,0.0
g12,13,0.0
g12,14,0.0
g12,15,0.0
g12,16,0.0
g12,17,0.0
g12,18,-0.0
g12,19,0.0
g12,20,0.0
g12,21,0.0
g12,22,0.0
g12,23,0.0
g12,24,0.0
