time_id,w1,w2,w3,w4,w5,w6
1,170.7418,184.2776,186.222,178.4568,168.2442,179.6832
2,167.6602,182.5956,186.60000000000002,180.0792,170.8332,180.31539999999998
3,162.056,180.2328,185.74779999999998,179.5802,171.0916,179.3372
4,154.2246,176.5164,184.84179999999998,179.9874,172.7354,178.529
5,149.0736,171.68460000000002,183.215,180.2192,174.061,177.21620000000001
6,144.3468,163.978,180.6118,179.7864,174.49460000000002,174.6158
7,138.1248,158.01639999999998,176.9856,177.82899999999998,172.3028,171.1846
8,133.14159999999998,155.7284,171.965,173.35739999999998,163.45860000000002,166.279
9,132.887,153.1096,167.3308,167.69559999999998,143.76839999999999,159.0846
10,131.1324,147.3674,161.394,155.6998,116.4876,147.3892
11,134.674,142.14180000000002,154.0412,143.208,88.6904,135.31640000000002
12,130.71980000000002,141.147,149.4134,124.0094,60.303200000000004,122.53179999999999
13,103.40199999999999,140.295,145.4288,94.14099999999999,32.936,106.31580000000001
14,81.03399999999999,143.10739999999998,142.7194,73.85119999999999,39.6926,97.02619999999999
15,53.302400000000006,144.85760000000002,141.52800000000002,52.739599999999996,33.693,88.837
16,34.8096,134.5208,141.76,34.1802,46.7776,78.9324
17,30.381000000000004,117.94500000000001,129.4564,38.4704,41.793400000000005,66.03280000000001
18,38.815,108.6094,97.9978,30.0012,40.9424,53.514399999999995
19,48.0372,110.04719999999999,57.2938,48.7772,44.588,44.4634
20,55.1116,113.2934,30.485,31.568800000000003,34.2826,41.56
21,64.2296,121.29939999999999,39.434999999999995,33.196999999999996,24.8978,43.4352
22,80.58999999999999,134.4686,20.3252,33.647,28.3578,47.8534
23,99.4966,151.8408,33.1758,35.6838,26.63,55.7496
24,119.7036,162.72480000000002,58.3484,24.5812,26.246399999999998,67.5392
