load,hour,profit
b4,21,4359.409782
b4,22,3976.1649660000003
b4,23,3515.6972280000005
b4,24,3034.094868
b5,1,2969.2674369104993
b5,2,2791.9977391844996
b5,3,2659.04546589
b5,4,2614.7280414585
b5,5,2614.7280414585
b5,6,2659.04546589
b5,7,3279.4894079309997
b5,8,3650.1912239999992
b5,9,3872.0518396491225
b5,10,4074.6320639999994
b5,11,4051.178207999999
b5,12,4008.9784349999995
b5,13,4008.9784349999995
b5,14,4008.9784349999995
b5,15,3924.5788889999994
b5,16,3924.5788889999994
b5,17,4177.777526999999
b5,18,4219.977299999999
b5,19,4219.977299999999
b5,20,4051.178207999999
b5,21,3840.179343
b5,22,3502.581159
b5,23,3098.4181320000002
b5,24,2673.9772919999996
b6,1,5213.057905068001
b6,2,4901.830567452
b6,3,4668.41006424
b6,4,4590.603229836
b6,5,4590.603229836
b6,6,4668.41006424
b6,7,5757.705745896001
b6,8,6382.787904000001
b6,9,6770.7372378947375
b6,10,7124.972544000001
b6,11,7080.046848
b6,12,7006.29636
b6,13,7006.29636
b6,14,7006.29636
b6,15,6858.795384000001
b6,16,6858.795384000001
b6,17,7301.298311999999
b6,18,7375.0488000000005
b6,19,7375.0488000000005
b6,20,7080.046848
b6,21,6711.294408000001
b6,22,6121.290504
b6,23,5417.947872000001
b6,24,4675.763232
b7,1,4366.9266406874995
b7,2,4106.2146024375
b7,3,3910.680573749999
b7,4,3845.5025641874995
b7,5,3845.5025641874995
b7,6,3910.680573749999
b7,7,4823.172707624998
b7,8,5321.669249999999
b7,9,5645.123212719297
b7,10,5940.467999999999
b7,11,5899.175999999999
b7,12,5837.72625
b7,13,5837.72625
b7,14,5837.72625
b7,15,5714.82675
b7,16,5714.82675
b7,17,6083.525249999999
b7,18,6144.975
b7,19,6144.975
b7,20,5899.175999999999
b7,21,5591.927249999999
b7,22,5100.329249999999
b7,23,4517.230874999999
b7,24,3898.4321250000003
b8,1,5403.9126094605
b8,2,5081.290961134499
b8,3,4839.32472489
b8,4,4758.669312808499
b8,5,4758.669312808499
b8,6,4839.32472489
b8,7,5968.500494030999
b8,8,6548.346503999998
b8,9,6946.358579999999
b8,10,7309.782144
b8,11,7253.294688
b8,12,7177.739535
b8,13,7177.739535
b8,14,7177.739535
b8,15,7026.629229000001
b8,16,7026.629229000001
b8,17,7479.960146999999
b8,18,7555.5153
b8,19,7555.5153
b8,20,7253.294688
b8,21,6875.518923
b8,22,6271.0776989999995
b8,23,5558.480172
b8,24,4797.044532
b9,1,4952.3946719625
b9,2,4656.7293184125
b9,3,4434.9803032499985
b9,4,4361.063964862499
b9,5,4361.063964862499
b9,6,4434.9803032499985
b9,7,5469.809040675
b9,8,5959.709699999998
b9,9,6321.944109649122
b9,10,6652.699199999999
b9,11,6594.890399999999
b9,12,6526.193624999999
b9,13,6526.193624999999
b9,14,6526.193624999999
b9,15,6388.800074999999
b9,16,6388.800074999999
b9,17,6800.980724999999
b9,18,6869.677499999999
b9,19,6869.677499999999
b9,20,6594.890399999999
b9,21,6251.406524999999
b9,22,5701.832324999999
b9,23,5058.82335
b9,24,4365.83385
b10,1,4892.634459472501
b10,2,4600.536879802501
b10,3,4381.463695050001
b10,4,4308.4393001325
b10,5,4308.4393001325
b10,6,4381.463695050001
b10,7,5403.805223895
b10,8,5837.620230000001
b10,9,6192.433975000003
b10,10,6516.4132800000025
b10,11,6451.997760000002
b10,12,6384.78945
b10,13,6384.78945
b10,14,6384.78945
b10,15,6250.372830000001
b10,16,6250.372830000001
b10,17,6653.622690000001
b10,18,6720.831
b10,19,6720.831
b10,20,6451.997760000002
b10,21,6115.95621
b10,22,5578.28973
b10,23,4955.189265000001
b10,24,4276.396215000002
b13,1,5798.589053257499
b13,2,5452.404632167499
b13,3,5192.766316349998
b13,4,5106.220211077499
b13,5,5106.220211077499
b13,6,5192.766316349998
b13,7,6404.411790164999
b13,8,6841.64916
b13,9,7257.488331578947
b13,10,7637.189760000001
b13,11,7549.65072
b13,12,7471.008524999999
b13,13,7471.008524999999
b13,14,7471.008524999999
b13,15,7313.7241349999995
b13,16,7313.7241349999995
b13,17,7785.577304999999
b13,18,7864.219499999999
b13,19,7864.219499999999
b13,20,7549.65072
b13,21,7156.439744999999
b13,22,6527.302185
b13,23,5807.446379999999
b13,24,5011.90578
b14,1,3634.553746347
b14,2,3417.565462983
b14,3,3254.82425046
b14,4,3200.577179619
b14,5,3200.577179619
b14,6,3254.82425046
b14,7,4014.2832422339998
b14,8,4225.039476
b14,9,4481.839682280702
b14,10,4716.323136
b14,11,4652.237952
b14,12,4603.777139999999
b14,13,4603.777139999999
b14,14,4603.777139999999
b14,15,4506.8555160000005
b14,16,4506.8555160000005
b14,17,4797.620387999999
b14,18,4846.0812
b14,19,4846.0812
b14,20,4652.237952
b14,21,4409.933891999999
b14,22,4022.2473959999993
b14,23,3586.370718
b14,24,3095.087058
b15,1,4961.198395783499
b15,2,4665.007446781499
b15,3,4442.86423503
b15,4,4368.8164977795
b15,5,4368.8164977795
b15,6,4442.86423503
b15,7,5479.532556536999
b15,8,5648.795447999999
b15,9,5992.132319649121
b15,10,6305.632127999999
b15,11,6200.915615999999
b15,12,6136.322744999998
b15,13,6136.322744999998
b15,14,6136.322744999998
b15,15,6007.137003
b15,16,6007.137003
b15,17,6394.694228999999
b15,18,6459.287099999999
b15,19,6459.287099999999
b15,20,6200.915615999999
b15,21,5877.951260999999
b15,22,5361.208292999999
b15,23,4794.907764
b15,24,4138.071083999999
b16,1,1259.72781255
b16,2,1184.52018195
b16,3,1128.114459
b16,4,1109.31255135
b16,5,1109.31255135
b16,6,1128.114459
b16,7,1391.3411660999998
b16,8,1390.0523999999998
b16,9,1474.540543859649
b16,10,1551.6863999999998
b16,11,1518.6527999999998
b16,12,1502.8334999999997
b16,13,1502.8334999999997
b16,14,1502.8334999999997
b16,15,1471.1948999999997
b16,16,1471.1948999999997
b16,17,1566.1106999999997
b16,18,1581.9299999999998
b16,19,1581.9299999999998
b16,20,1518.6527999999998
b16,21,1439.5562999999997
b16,22,1313.0018999999998
b16,23,1179.9281999999998
b16,24,1018.2942
b18,1,3209.3051907915
b18,2,3017.7048808935
b18,3,2874.00464847
b18,4,2826.1045709954997
b18,5,2826.1045709954997
b18,6,2874.00464847
b18,7,3544.605733113
b18,8,3363.7908419999994
b18,9,3568.243886052631
b18,10,3754.929312
b18,11,3644.927424
b18,12,3606.9594299999994
b18,13,3606.9594299999994
b18,14,3606.959429999999
b18,15,3531.0234419999997
b18,16,3531.023442
b18,17,3758.8314059999993
b18,18,3796.7994
b18,19,3796.7994
b18,20,3644.9274240000004
b18,21,3455.0874539999995
b18,22,3151.343502
b18,23,2855.310831
b18,24,2464.172361
b19,1,1219.9650007154999
b19,2,1147.1312693295
b19,3,1092.5059707900002
b19,4,1074.2975379435002
b19,5,1074.2975379435002
b19,6,1092.5059707900002
b19,7,1347.4240306410002
b19,8,1155.2151239999996
b19,9,1225.42973
b19,10,1289.5424639999999
b19,11,1229.7516479999997
b19,12,1216.941735
b19,13,1216.941735
b19,14,1216.9417349999999
b19,15,1191.3219089999998
b19,16,1191.3219090000002
b19,17,1268.1813869999999
b19,18,1280.9913000000004
b19,19,1280.9913000000004
b19,20,1229.751648
b19,21,1165.702083
b19,22,1063.222779
b19,23,980.589582
b19,24,846.2622419999999
b20,1,449.5974560640001
b20,2,422.75581689600006
b20,3,402.62458752000003
b20,4,395.914177728
b20,5,395.914177728
b20,6,402.62458752000003
b20,7,496.570324608
b20,8,286.64832
b20,9,304.0709614035088
b20,10,319.9795200000001
b20,11,277.696512
b20,12,274.80384000000015
b20,13,274.80384000000015
b20,14,274.80384
b20,15,269.01849599999997
b20,16,269.01849600000014
b20,17,286.37452799999994
b20,18,289.2672000000002
b20,19,289.2672000000002
b20,20,277.69651200000015
b20,21,263.2331520000002
b20,22,240.09177600000015
b20,23,243.31776000000008
b20,24,209.98656000000005
b21,1,0.0
b21,2,0.0
b21,3,0.0
b21,4,0.0
b21,5,0.0
b21,6,0.0
b21,7,0.0
b21,8,0.0
b21,9,0.0
b21,10,0.0
b21,11,0.0
b21,12,0.0
b21,13,0.0
b21,14,0.0
b21,15,0.0
b21,16,0.0
b21,17,0.0
b21,18,0.0
b21,19,0.0
b21,20,0.0
b21,21,0.0
b21,22,0.0
b21,23,0.0
b21,24,0.0
