bess,hour,SOC
bess1,1,0.5541976996666665
bess1,2,0.6231248559999999
bess1,3,0.7016629973333333
bess1,4,0.7823168086666665
bess1,5,0.8613984616666666
bess1,6,0.9343739153333332
bess1,7,0.9527823746666666
bess1,8,0.9527823746666666
bess1,9,0.9527823746666666
bess1,10,0.9527823746666666
bess1,11,0.9527823746666666
bess1,12,0.9390862178039214
bess1,13,0.904683002117647
bess1,14,0.904683002117647
bess1,15,0.904683002117647
bess1,16,0.8509605707450979
bess1,17,0.785534431372549
bess1,18,0.7442364313725489
bess1,19,0.6996691372549019
bess1,20,0.5980654901960784
bess1,21,0.5264064705882353
bess1,22,0.5
bess1,23,0.5
bess1,24,0.5
